Round,Player,Guess,Target
1,A,3,46.684482105911975
1,B,55,66.46594067768284
1,C,90,26.273630254036608
1,D,100,49.1399027870101
Round,Player,Guess,Target
1,A,44,41.855578281686064
1,B,55,77.03267106541072
1,C,1,91.40051266981453
1,D,100,20.776038282971964
Round,Player,Guess,Target
1,A,1,73.40041335554204
1,B,5,68.4124191961565
1,C,100,23.611129989335456
1,D,90,57.34484340774143
2,A,67,77.43309723313381
2,B,89,49.57743890025314
2,C,45,17.831502269867283
2,D,1,26.21041800990088
3,A,0,70.5234674237029
3,B,99,29.23688212268797
3,C,86,68.46986698510528
3,D,54,54.70124622021041
Round,Player,Guess,Target
1,A,22,22.666666666666668
1,B,44,20.333333333333336
1,C,8,27.333333333333332
1,D,1,34.66666666666667
2,A,33,39.333333333333336
2,B,29,45.666666666666664
2,C,39,37.333333333333336
2,D,35,43.666666666666664
3,A,22,38.666666666666664
3,B,1,50.666666666666664
3,C,0,46.0
3,D,100,17.666666666666668
Round,Player,Guess,Target
1,A,0,79.66666666666667
1,B,100,51.333333333333336
1,C,90,49.666666666666664
1,D,34,73.33333333333334
2,A,54,45.666666666666664
2,B,33,57.666666666666664
2,C,24,55.666666666666664
2,D,65,47.0
3,A,564,31.333333333333332
3,B,55,206.0
3,C,23,211.66666666666666
3,D,1,224.0
Round,Player,Guess,Target
1,A,11,74.66666666666667
1,B,23,75.66666666666667
1,C,86,49.666666666666664
1,D,100,50.0
2,A,26,31.333333333333332
2,B,38,32.33333333333333
2,C,8,37.333333333333336
2,D,33,34.0
3,A,63,68.0
3,B,24,86.0
3,C,89,59.333333333333336
3,D,76,68.66666666666666
Round,Player,Guess,Target
1,A,23,75.0
1,B,54,69.66666666666666
1,C,67,60.333333333333336
1,D,89,58.0
2,A,11,68.66666666666666
2,B,1,77.0
2,C,90,42.333333333333336
2,D,100,44.0
3,A,56,78.33333333333333
3,B,43,87.66666666666667
3,C,87,68.0
3,D,90,72.0
Round,Player,Guess,Target
1,A,34,56.666666666666664
1,B,97,40.66666666666667
1,C,12,64.0
1,D,46,57.666666666666664
2,A,32,85.0
2,B,64,79.33333333333333
2,C,76,70.33333333333333
2,D,100,67.33333333333334
3,A,12,37.333333333333336
3,B,86,17.666666666666668
3,C,2,40.666666666666664
3,D,9,43.333333333333336
Round,Player,Guess,Target
1,A,0,45.333333333333336
1,B,1,50.0
1,C,77,19.666666666666664
1,D,43,36.0
